"","V1"
"mv744d","beating justified: wife refuses to have sex with husband"
"mv744e","beating justified: wife burns food"
"mv745a","owns a house alone or jointly"
"mv745b","owns land alone or jointly"
"mv745c","title deed on house own by respondent"
"mv745d","title deed on land own by respondent"
"mv747a","na - childbearing is a woman's concern"
"mv747b","na - important for mother/child health to get assistance at delivery"
"md121","respondent's father ever beat his mother"
"mv750","ever heard of a sexually transmitted infection (sti)"
"mv751","ever heard of aids"
"mv754bp","na - reduce risk of getting hiv: do not have sex at all"
"mv754cp","reduce risk of getting hiv: always use condoms during sex"
"mv754dp","reduce risk of getting hiv: have 1 sex partner only, who has no other partners"
"mv754jp","can get hiv from mosquito bites"
"mv754wp","can get hiv by sharing food with person who has aids"
"mv756","a healthy looking person can have hiv"
"mv761","condom used during last sex with most recent partner"
"mv761b","condom used during last sex with 2nd to most recent partner"
"mv761c","condom used during last sex with 3rd to most recent partner"
"mv762","source of condoms used for last sex"
"mv762a","brand of condom used for last sex"
"mv763a","had any sti in last 12 months"
"mv763b","had genital sore/ulcer in last 12 months"
"mv763c","had genital discharge in last 12 months"
"mv763d","na - had cs sti in last 12 months"
"mv763e","na - had cs sti in last 12 months"
"mv763f","na - had cs sti in last 12 months"
"mv763g","na - had cs sti in last 12 months"
"mv766a","number of sex partners, excluding spouse, in last 12 months"
"mv766b","number of sex partners, including spouse, in last 12 months"
"mv767a","relationship with most recent sex partner"
"mv767b","relationship with 2nd to most recent sex partner"
"mv767c","relationship with 3rd to most recent sex partner"
"mv768a","na - length of time had sex relations with most recent partner"
"mv768b","na - length of time had sex relations with 2nd to most recent partner"
"mv768c","na - length of time had sex relations with 3rd to most recent partner"
"mv770","na - sought advice/treatment for last sti infection"
"mv770a","na - sought sti advice/treatment from: government hospital"
"mv770b","na - sought sti advice/treatment from: cs public"
"mv770c","na - sought sti advice/treatment from: cs public"
"mv770d","na - sought sti advice/treatment from: cs public"
"mv770e","na - sought sti advice/treatment from: cs public"
"mv770f","na - sought sti advice/treatment from: cs public"
"mv770g","na - sought sti advice/treatment from: cs public"
"mv770h","na - sought sti advice/treatment from: cs public"
"mv770i","na - sought sti advice/treatment from: cs public"
"mv770j","na - sought sti advice/treatment from: cs public"
"mv770k","na - sought sti advice/treatment from: private hospital/clinic/doctor"
"mv770l","na - sought sti advice/treatment from: cs private"
"mv770m","na - sought sti advice/treatment from: cs private"
"mv770n","na - sought sti advice/treatment from: cs private"
"mv770o","na - sought sti advice/treatment from: cs private"
"mv770p","na - sought sti advice/treatment from: cs private"
"mv770q","na - sought sti advice/treatment from: cs private"
"mv770r","na - sought sti advice/treatment from: cs private"
"mv770s","na - sought sti advice/treatment from: cs private"
"mv770t","na - sought sti advice/treatment from: cs other"
"mv770u","na - sought sti advice/treatment from: cs other"
"mv770v","na - sought sti advice/treatment from: cs other"
"mv770w","na - sought sti advice/treatment from: cs other"
"mv770x","na - sought sti advice/treatment from: other"
"mv774a","hiv transmitted during pregnancy"
"mv774b","hiv transmitted during delivery"
"mv774c","hiv transmitted by breastfeeding"
"mv775","na - knows someone who has, or is suspected of having, hiv"
"mv777","na - would want hiv infection in family to remain secret"
"mv777a","na - would be ashamed if someone in the family had hiv"
"mv778","na - willing to care for relative with aids"
"mv779","na - a female teacher infected with hiv, but is not sick, should be allowed to c"
"mv780","na - children should be taught about condoms to avoid aids"
"mv781","ever been tested for hiv"
"mv783","na - know a place to get hiv test"
"mv784a","na - place for hiv test: government hospital"
"mv784b","na - place for hiv test: cs public"
"mv784c","na - place for hiv test: cs public"
"mv784d","na - place for hiv test: cs public"
"mv784e","na - place for hiv test: cs public"
"mv784f","na - place for hiv test: cs public"
"mv784g","na - place for hiv test: cs public"
"mv784h","na - place for hiv test: cs public"
"mv784i","na - place for hiv test: cs public"
"mv784j","na - place for hiv test: cs public"
"mv784k","na - place for hiv test: private hospital/clinic/doctor"
"mv784l","na - place for hiv test: cs private"
"mv784m","na - place for hiv test: cs private"
"mv784n","na - place for hiv test: cs private"
"mv784o","na - place for hiv test: cs private"
"mv784p","na - place for hiv test: cs private"
"mv784q","na - place for hiv test: cs private"
"mv784r","na - place for hiv test: cs private"
"mv784s","na - place for hiv test: cs other"
"mv784t","na - place for hiv test: cs other"
"mv784u","na - place for hiv test: cs other"
"mv784v","na - place for hiv test: cs other"
"mv784x","na - place for hiv test: other"
"mv785","heard about other stis"
"mv791","na - have ever paid anyone in exchange for sex"
"mv791a","na - last 12 months have given gifts or other goods to have sex"
"mv791b","na - have ever given gifts or other goods to have sex"
"mv793","na - paid for sex in last 12 months"
"mv793a","na - condom used last time paid for sex in last 12 months"
"mv793b","na - condom used every time paid for sex in last 12 months"
"mv820","na - condom used at first sex"
"mv822","wife justified asking husband to use condom if he has sti"
"mv823","na - can get hiv by witchcraft or supernatural means"
"mv824","drugs to avoid hiv transmission to baby during pregnancy"
"mv825","would buy vegetables from vendor with hiv"
"mv826","na - last time tested for hiv"
"mv826a","months ago most recent hiv test"
"mv827","na - last hiv test: on your own, offered or required"
"mv828","received result from last hiv test"
"mv829","place where last hiv test was taken"
"mv832b","na - time since last sex with 2nd to most recent partner"
"mv832c","na - time since last sex with 3rd to most recent partner"
"mv833a","na - used condom every time had sex with most recent partner in last 12 months"
"mv833b","na - used condom every time had sex with 2nd to most recent partner in last 12 m"
"mv833c","na - used condom every time had sex with 3rd to most recent partner in last 12 m"
"mv834a","na - age of most recent partner"
"mv834b","na - age of 2nd to most recent partner"
"mv834c","na - age of 3rd to most recent partner"
"mv835a","na - alcohol consumption at last sex with most recent partner"
"mv835b","na - alcohol consumption at last sex with 2nd to most recent partner"
"mv835c","na - alcohol consumption at last sex with 3rd to most recent partner"
"mv836","total lifetime number of sex partners"
"mv837","heard of drugs to help hiv infected people live longer"
"mv852a","na - how long ago first had sex with most recent partner"
"mv852b","na - how long ago first had sex with 2nd most recent partner"
"mv852c","na - how long ago first had sex with 3rd most recent partner"
"mv853a","na - times in last 12 months had sex with most recent partner"
"mv853b","na - times in last 12 months had sex with 2nd most recent partner"
"mv853c","na - times in last 12 months had sex with 3rd most recent partner"
"mv856","knowledge and use of hiv test kits"
"mv857a","children with hiv should be allowed to attend school with children without hiv"
"mv857b","na - people hesitate to take hiv test because reaction of other people if positi"
"mv857c","na - people talk badly about people with or believed to have hiv"
"mv857d","na - people with or believed to have hiv lose respect from other people"
"mv858","na - would be afraid to get hiv from contact with saliva from infected person"
"mv859","na - knowledge and attitude to prep to prevent getting hiv"
"mv860m","month of most recent hiv test"
"mv860y","year of most recent hiv test"
"mv860c","date of most recent hiv test (cmc)"
"mv861","result of hiv test"
"mv862m","month received first hiv test positive"
"mv862y","year received first hiv test positive"
"mv862c","date received first hiv test positive (cmc)"
"mv863","currently taking arvs"
"mv864","number of hiv tests"
"mv865","na - disclosed hiv status to others"
"mv866","na - respondent feels ashamed of hiv status"
"mv867a","na - things happened because hiv positive status: people talk badly"
"mv867b","na - things happened because hiv positive status: someone else disclosed status"
"mv867c","na - things happened because hiv positive status: verbally insulted/harassed/thr"
"mv867d","na - things happened because hiv positive status: healthcare workers talked badl"
"mv867e","na - things happened because hiv positive status: healthcare workers verbally ab"
"mv867f","na - things happened because hiv positive status: cs"
"mv867g","na - things happened because hiv positive status: cs"
"mmth1","last 2 weeks: feeling nervous, anxious, on edge"
"mmth2","last 2 weeks: not able to stop/control worrying"
"mmth3","last 2 weeks: worrying about things"
"mmth4","last 2 weeks: trouble relaxing"
"mmth5","last 2 weeks: restless and hard to sit still"
"mmth6","last 2 weeks: become easily annoyed/irritable"
"mmth7","last 2 weeks: feeling afraid as something awful might happen"
"mmth8","last 2 weeks: little interest/pleasure in doing things"
"mmth9","last 2 weeks: feeling down, depressed or hopeless"
"mmth10","last 2 weeks: trouble falling asleep or sleeping too much"
"mmth11","last 2 weeks: feeling tired or having little energy"
"mmth12","last 2 weeks: poor appetite or overeating"
"mmth13","last 2 weeks: feeling bad about yourself, you are a failure or let yourself or f"
"mmth14","last 2 weeks: trouble concentrating in reading or watching tv"
"mmth15","last 2 weeks: moving/speaking slowly or moving around a lot more than usual"
"mmth16","last 2 weeks: thoughts of better off dead or hurting yourself"
"mmth17","ever tried to seek help for the things you experienced"
"mmth18a","person sought help from: doctor/medical personnel"
"mmth18b","person sought help from: social service organization"
"mmth18c","person sought help from: social worker"
"mmth18d","person sought help from: community health worker/fieldworker"
"mmth18e","person sought help from: religious leader"
"mmth18f","person sought help from: current/former spouse/partner"
"mmth18g","person sought help from: other family member"
"mmth18h","person sought help from: friend"
"mmth18i","person sought help from: neighbor"
"mmth18j","person sought help from: ngo - cs"
"mmth18k","na - person sought help from: cs"
"mmth18l","na - person sought help from: cs"
"mmth18m","na - person sought help from: cs"
"mmth18n","na - person sought help from: cs"
"mmth18o","na - person sought help from: cs"
"mmth18p","na - person sought help from: cs"
"mmth18x","person sought help from: other"
"mmth19","ever been told by a doctor/health care worker you have: depression"
"mmth20","ever been told by a doctor/health care worker you have: anxiety"
"mmth21","last 2 weeks took medication prescribed by doctor/health worker for depression/a"
"mmth22","phq score"
"mmth23","referral based on phq score"
"mmth24","gad score"
"smecoreg","ecological region"
"smdist","district"
"sm115_1","highest educational level"
"sm113","ever attended school"
"sm113a","ever particpated in literacy program"
"sm115","highest grade completed"
"sm603","worked in last 7 days/12 months - cs (q601 & q603)"
"sm618f","beating justified: wife brings less or no dowry - cs"
"sm618g","beating justified: wife doesn't follow everyday routine - cs"
"sm618h","beating justified: wife talkes to other men - cs"
"sm708a","hiv transmission from mother to child: during pregnancy"
"sm708b","hiv transmission from mother to child: during delivery"
"sm708c","hiv transmission from mother to child: by breastfeeding"
"mv474","ever heard of an illness called tb"
"sm816ba","common symptoms of tb: cough for more than 2 weeks"
"sm816bb","common symptoms of tb: fever in the evenings"
"sm816bc","common symptoms of tb: chest pain"
"sm816bd","common symptoms of tb: loss of weight"
"sm816be","common symptoms of tb: loss of appetite"
"sm816bf","common symptoms of tb: blood of sputum"
"sm816bg","common symptoms of tb: tiredness/fatigue"
"sm816bh","common symptoms of tb: cough"
"sm816bi","common symptoms of tb: fever"
"sm816bj","common symptoms of tb: person turns black"
"sm816bx","common symptoms of tb: other"
"sm816bz","common symptoms of tb: don't know"
"mv474a","way of tb spread: through the air when coughing or sneezing"
"mv474b","way of tb spread: through sharing utensils"
"mv474c","way of tb spread: through touching a person with tb"
"mv474d","way of tb spread: through sharing food"
"mv474e","way of tb spread: through sexual contact"
"mv474f","way of tb spread: through mosquito bite"
"mv474g","way of tb spread: through spit/saliva"
"mv474h","way of tb spread: inherited"
"mv474x","way of tb spread: other"
"mv474z","way of tb spread: don't know"
"mv475","tb can be cured"
"sm816e","duration of treatment of tb in months"
"sm816f","ever told by hw than you have/had tb"
"sm816g","seek for treatment of tb"
"sm816ha","place of tb treatment:  government hospital"
"sm816hb","place of tb treatment: phc/primary hospital"
"sm816hc","place of tb treatment: health post"
"sm816hd","place of tb treatment: bhcc"
"sm816he","place of tb treatment: uhc"
"sm816hf","place of tb treatment: chu"
"sm816hg","place of tb treatment: other public"
"sm816hh","place of tb treatment: pvt hospital/nursing home"
"sm816hi","place of tb treatment: private clinic"
"sm816hj","place of tb treatment: pharmacy"
"sm816hk","place of tb treatment: other private medical"
"sm816hl","place of tb treatment: fpan"
"sm816hm","place of tb treatment: marie stopes"
"sm816hn","place of tb treatment: other ngo facilities"
"sm816ho","place of tb treatment: shop"
"sm816hp","place of tb treatment: friend/relative"
"sm816hq","place of tb treatment: traditional healer"
"sm816hx","place of tb treatment: other"
"sm816hz","place of tb treatment: don't know"
"mv476","want to remain secret if family got tb"
"sm818a","heard of covid-19"
"sm818ba","common symptoms of covid-19 infection: fever"
"sm818bb","common symptoms of covid-19 infection: cough"
"sm818bc","common symptoms of covid-19 infection: shortness of breath and breathing difficu"
"sm818bd","common symptoms of covid-19 infection: muscle pain"
"sm818be","common symptoms of covid-19 infection: headache"
"sm818bf","common symptoms of covid-19 infection: lost of taste and smell"
"sm818bg","common symptoms of covid-19 infection: diarrhea"
"sm818bh","common symptoms of covid-19 infection: common cold and running nose"
"sm818bx","common symptoms of covid-19 infection: other"
"sm818bz","common symptoms of covid-19 infection: don't know"
"sm818c","know ways to prevent the spread of covid-19"
"sm818da","measures taken to reduce risk of getting covid-19: wearing mask"
"sm818db","measures taken to reduce risk of getting covid-19: washing hands"
"sm818dc","measures taken to reduce risk of getting covid-19: using sanitizer"
"sm818dd","measures taken to reduce risk of getting covid-19: maintaining distance"
"sm818de","measures taken to reduce risk of getting covid-19: avoid touching eyes/nose/mout"
"sm818df","measures taken to reduce risk of getting covid-19: practice respiratory hygiene"
"sm818dg","measures taken to reduce risk of getting covid-19: get vaccinated"
"sm818dh","measures taken to reduce risk of getting covid-19: focus on cleanliness"
"sm818di","measures taken to reduce risk of getting covid-19: drink hot water"
"sm818dx","measures taken to reduce risk of getting covid-19: other"
"sm818dz","measures taken to reduce risk of getting covid-19: did nothing"
"sm818ea","source of information about covid-19: fchvs"
"sm818eb","source of information about covid-19: health mother's group"
"sm818ec","source of information about covid-19: community health workers"
"sm818ed","source of information about covid-19: other frontline workers from i/ngos"
"sm818ee","source of information about covid-19: radio programs"
"sm818ef","source of information about covid-19: sms/text messaging"
"sm818eg","source of information about covid-19: health facility"
"sm818eh","source of information about covid-19: phone counseling"
"sm818ei","source of information about covid-19: television"
"sm818ej","source of information about covid-19: mobile ring tone"
"sm818ek","source of information about covid-19: family/relatives/friends/neighbors"
"sm818el","source of information about covid-19: social media"
"sm818em","source of information about covid-19: school"
"sm818ex","source of information about covid-19: other"
"sm818ez","source of information about covid-19: don't know"
"sm818fa","heard/seen: jana swastha bahas tv karyakram"
"sm818fb","heard/seen:  jeevan chakra tv serial"
"sm818fc","heard/seen: jana swastha radio karyakram"
"sm818fd","heard/seen: swastha gatibidhi radio karyakram"
"sm818fe","heard/seen: eek dui tin sunau eekai chin radio karyakram"
"sm818ff","heard/seen: bhanchin aama radio karyakram"
"sm818fg","heard/seen: hello bhanchhin aama radio karyakram"
"sm818fh","heard/seen: jeevan raksya radio karyakram (covid-19)"
"smmth6","last 2 weeks took medication prescribed by doctor/health worker for any other me"
"smmth6a","last 2 weeks received counseling for mental health condition - cs"
